book_id,title,genre,year,price,pages,rating,sales_count,author_rating,is_bestseller
1,Книга_001,История,2025,966.63,223.0,3.6,326,3.5,0
2,Книга_002,Фантастика,2007,494.5,614.0,3.6,2123,3.8,0
3,Книга_003,Бизнес,2003,1030.16,124.0,2.9,620,3.9,0
4,Книга_004,История,2012,598.1,241.0,4.3,1638,1.6,0
5,Книга_005,Роман,2013,458.3,518.0,4.2,3096,4.2,1
6,Книга_006,Наука,2017,1141.13,586.0,2.6,141,2.5,0
7,Книга_007,История,2008,1038.91,452.0,4.4,359,2.1,0
8,Книга_008,История,2024,832.46,702.0,5.0,1215,3.4,0
9,Книга_009,Роман,2013,371.8,743.0,3.9,1629,3.6,0
10,Книга_010,Детектив,2007,656.18,192.0,3.5,2339,2.8,1
11,Книга_011,Фантастика,2024,440.33,766.0,3.7,3230,4.3,1
12,Книга_012,Наука,2024,1266.58,530.0,4.3,233,2.2,0
13,Книга_013,Детектив,2012,697.21,545.0,2.4,1444,3.1,0
14,Книга_014,Бизнес,2000,670.8,166.0,3.9,685,2.9,0
15,Книга_015,Фантастика,2015,464.03,535.0,3.5,2201,3.5,1
16,Книга_016,Роман,2014,423.41,608.0,5.0,2688,3.8,1
17,Книга_017,Детектив,2003,816.21,,3.7,1361,2.5,0
18,Книга_018,Роман,2016,533.42,159.0,5.0,2457,4.2,1
19,Книга_019,Бизнес,2021,1061.81,466.0,2.9,623,3.6,0
20,Книга_020,Детектив,2002,665.02,755.0,4.3,3085,1.6,1
21,Книга_021,История,2018,810.55,606.0,4.1,1213,1.5,0
22,Книга_022,Фантастика,2003,489.66,196.0,3.1,2075,,0
23,Книга_023,Наука,2019,1311.14,771.0,3.9,196,3.3,0
24,Книга_024,Бизнес,2010,752.86,771.0,4.8,1565,3.4,0
25,Книга_025,История,2000,813.69,218.0,3.5,1014,3.5,0
26,Книга_026,Роман,2025,629.91,660.0,2.4,638,3.7,0
27,Книга_027,Детектив,2004,670.66,384.0,3.8,1620,4.4,0
28,Книга_028,Роман,2015,726.24,515.0,3.1,832,2.4,0
29,Книга_029,Роман,2004,409.38,411.0,3.5,845,2.3,0
30,Книга_030,История,2024,774.68,647.0,3.7,864,2.4,0
31,Книга_031,История,2019,716.26,797.0,2.4,414,3.8,0
32,Книга_032,Наука,2020,971.4,,2.5,445,4.7,0
33,Книга_033,Фантастика,2011,477.22,751.0,4.2,3956,3.1,1
34,Книга_034,Фантастика,2012,484.37,762.0,3.4,3125,1.0,1
35,Книга_035,Детектив,2016,507.35,163.0,1.7,904,1.8,0
36,Книга_036,Роман,2020,471.88,277.0,4.4,1570,2.7,0
37,Книга_037,Роман,2022,521.16,605.0,4.0,2135,2.9,1
38,Книга_038,Детектив,2000,653.83,513.0,3.2,1999,3.1,0
39,Книга_039,Роман,2017,603.85,135.0,2.7,948,3.5,0
40,Книга_040,История,2002,720.61,166.0,4.5,1378,3.2,0
41,Книга_041,Фантастика,2007,616.22,464.0,4.1,1224,4.5,0
42,Книга_042,Бизнес,2021,699.28,531.0,5.0,2006,2.8,0
43,Книга_043,История,2006,819.45,217.0,4.1,386,2.6,0
44,Книга_044,Фантастика,2020,572.18,219.0,4.1,1345,4.0,0
45,Книга_045,Бизнес,2012,583.08,190.0,3.7,1273,2.0,0
46,Книга_046,Бизнес,2006,827.78,,4.5,504,3.9,0
47,Книга_047,Фантастика,2008,647.58,105.0,4.3,988,3.6,0
48,Книга_048,Фантастика,2013,528.28,500.0,4.8,1170,3.4,0
49,Книга_049,История,2019,810.58,433.0,3.4,581,5.0,0
50,Книга_050,Роман,2015,576.31,426.0,3.5,1730,2.9,0
51,Книга_051,Роман,2024,630.8,575.0,3.4,510,5.0,0
52,Книга_052,Роман,2022,609.18,,4.4,1830,3.3,0
53,Книга_053,История,2019,855.36,609.0,5.0,1216,2.2,0
54,Книга_054,История,2015,667.08,634.0,3.4,459,,0
55,Книга_055,История,2007,930.96,744.0,3.5,324,2.4,0
56,Книга_056,История,2010,797.52,659.0,4.1,1105,2.7,0
57,Книга_057,Детектив,2003,574.82,462.0,3.6,2607,3.9,1
58,Книга_058,Детектив,2009,660.45,444.0,4.6,2187,4.1,1
59,Книга_059,Роман,2024,494.26,264.0,2.0,1199,2.9,0
60,Книга_060,Роман,2011,555.1,519.0,3.1,611,4.5,0
61,Книга_061,История,2002,902.56,197.0,3.2,464,4.7,0
62,Книга_062,Детектив,2016,775.02,751.0,1.9,945,4.9,0
63,Книга_063,Детектив,2025,790.27,691.0,3.0,807,4.0,0
64,Книга_064,История,2022,772.03,183.0,3.1,784,4.9,0
